country,capital,region,subregion,population,area_km2,population_density
India,New Delhi,Asia,Southern Asia,1417492000,3287263.0,431.21
China,Beijing,Asia,Eastern Asia,1408280000,9706961.0,145.08
United States,"Washington, D.C.",Americas,North America,340110988,9525067.0,35.71
Indonesia,Jakarta,Asia,South-Eastern Asia,284438782,1904569.0,149.35
Pakistan,Islamabad,Asia,Southern Asia,241499431,796095.0,303.36
Nigeria,Abuja,Africa,Western Africa,223800000,923768.0,242.27
Brazil,Brasília,Americas,South America,213421037,8515767.0,25.06
Bangladesh,Dhaka,Asia,Southern Asia,169828911,147570.0,1150.84
Russia,Moscow,Europe,Eastern Europe,146028325,17098246.0,8.54
Mexico,Mexico City,Americas,North America,130575786,1964375.0,66.47
Japan,Tokyo,Asia,Eastern Asia,123210000,377930.0,326.01
Philippines,Manila,Asia,South-Eastern Asia,114123600,342353.0,333.35
DR Congo,Kinshasa,Africa,Middle Africa,112832000,2344858.0,48.12
Ethiopia,Addis Ababa,Africa,Eastern Africa,111652998,1104300.0,101.11
Egypt,Cairo,Africa,Northern Africa,107271260,1002450.0,107.01
Vietnam,Hanoi,Asia,South-Eastern Asia,101343800,331212.0,305.98
Iran,Tehran,Asia,Southern Asia,85961000,1648195.0,52.15
Turkey,Ankara,Asia,Western Asia,85664944,783562.0,109.33
Germany,Berlin,Europe,Western Europe,83491249,357114.0,233.79
United Kingdom,London,Europe,Northern Europe,69281437,244376.0,283.5
Tanzania,Dodoma,Africa,Eastern Africa,68153004,947303.0,71.94
France,Paris,Europe,Western Europe,66351959,543908.0,121.99
Thailand,Bangkok,Asia,South-Eastern Asia,65859640,513120.0,128.35
South Africa,Pretoria,Africa,Southern Africa,63100945,1221037.0,51.68
Italy,Rome,Europe,Southern Europe,58927633,301336.0,195.55
Kenya,Nairobi,Africa,Eastern Africa,53330978,580367.0,91.89
Colombia,Bogotá,Americas,South America,53057212,1141748.0,46.47
Sudan,Khartoum,Africa,Northern Africa,51662000,1886068.0,27.39
Myanmar,Naypyidaw,Asia,South-Eastern Asia,51316756,676578.0,75.85
South Korea,Seoul,Asia,Eastern Asia,51159889,100210.0,510.53
Spain,Madrid,Europe,Southern Europe,49315949,505992.0,97.46
Algeria,Algiers,Africa,Northern Africa,47400000,2381741.0,19.9
Argentina,Buenos Aires,Americas,South America,46735004,2780400.0,16.81
Iraq,Baghdad,Asia,Western Asia,46118793,438317.0,105.22
Uganda,Kampala,Africa,Eastern Africa,45905417,241550.0,190.05
Afghanistan,Kabul,Asia,Southern Asia,43844000,652230.0,67.22
Canada,Ottawa,Americas,North America,41651653,9984670.0,4.17
Uzbekistan,Tashkent,Asia,Central Asia,37859698,447400.0,84.62
Poland,Warsaw,Europe,Central Europe,37392000,312679.0,119.59
Morocco,Rabat,Africa,Northern Africa,36828330,446550.0,82.47
Angola,Luanda,Africa,Middle Africa,36170961,1246700.0,29.01
Saudi Arabia,Riyadh,Asia,Western Asia,35300280,2149690.0,16.42
Peru,Lima,Americas,South America,34350244,1285216.0,26.73
Malaysia,Kuala Lumpur,Asia,South-Eastern Asia,34231700,330803.0,103.48
Mozambique,Maputo,Africa,Eastern Africa,34090466,801590.0,42.53
Ghana,Accra,Africa,Western Africa,33742380,238533.0,141.46
Ukraine,Kyiv,Europe,Eastern Europe,32862000,603550.0,54.45
Yemen,Sana'a,Asia,Western Asia,32684503,527968.0,61.91
Madagascar,Antananarivo,Africa,Eastern Africa,31727042,587041.0,54.05
Ivory Coast,Yamoussoukro,Africa,Western Africa,31719275,322463.0,98.37
Nepal,Kathmandu,Asia,Southern Asia,29911840,147181.0,203.23
Cameroon,Yaoundé,Africa,Middle Africa,29442327,475442.0,61.93
Venezuela,Caracas,Americas,South America,28517000,916445.0,31.12
Australia,Canberra,Oceania,Australia and New Zealand,27536874,7692024.0,3.58
